,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,위경도
3,유치원,고은유치원,부산광역시 해운대구 세실로 30,부산광역시 해운대구 좌동 1317,35.16844975,129.1793923,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,9,2022-03-21,35.16844975129.1793923
4,어린이집,광덕자연어린이집,부산광역시 해운대구 청사포로67번길 1-9,부산광역시 해운대구 중동 468,35.16340686,129.187399,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,4~8.5,2022-03-21,35.16340686129.187399
5,유치원,대동유치원,부산광역시 해운대구 대천로 100,부산광역시 해운대구 좌동 877-2,35.17436016,129.1734349,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,7.5,2022-03-21,35.17436016129.1734349
6,유치원,대림유치원,부산광역시 해운대구 대천로103번길 47,부산광역시 해운대구 좌동 1396,35.17931267,129.1740453,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12~12.5,2022-03-21,35.17931267129.1740453
7,유치원,대우사랑유치원,부산광역시 해운대구 좌동순환로 275,부산광역시 해운대구 좌동 1438,35.17245382,129.1832262,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12.5~16,2022-03-21,35.17245382129.1832262
8,유치원,더푸른유치원,부산광역시 해운대구 좌동순환로433번길 30-3,부산광역시 해운대구 중동 1519-1,35.164107,129.181538,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,11~21,2022-03-21,35.164107129.181538
9,어린이집,동백어린이집,부산광역시 해운대구 해운대로469번길 80,부산광역시 해운대구 우동 934,35.16672302,129.1434569,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,9,2022-03-21,35.16672302129.1434569
10,초등학교,동백초교,부산광역시 해운대구 좌동순환로357번길 6,부산광역시 해운대구 중동 1518-1,35.16401932,129.1812186,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,6.7~21,2022-03-21,35.16401932129.1812186
11,유치원,동부산대부속유치원,부산광역시 해운대구 운봉길 60,부산광역시 해운대구 반송동 640-5,35.23274266,129.1490281,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,6.5~7,2022-03-21,35.23274266129.1490281
12,유치원,동성제일유치원,부산광역시 해운대구 해운대로349번길 24,부산광역시 해운대구 우동 1104-1,35.17492815,129.1397257,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,8~11,2022-03-21,35.17492815129.1397257
