위도,경도
35.0926758,129.0570719
35.080729,129.0692473
35.093559,129.036622
35.090177,129.058264
35.094273,129.057681
35.17370989,129.1400097
35.17172782,129.136074
35.17492939,129.1397304
35.16372978,129.1392446
35.16424631,129.1399104
35.16524206,129.1404183
35.16789416,129.1430679
35.16878735,129.1410716
35.16813347,129.1415893
35.16393009,129.1380729
35.16527063,129.1392991
35.1651341,129.1394398
35.15951478,129.143653
35.16668917,129.1370247
35.15703494,129.1447158
35.15526537,129.1431105
35.15541001,129.1468771
35.15777357,129.1495225
35.1556005,129.1419
35.1613658,129.1423618
35.16235644,129.1443624
35.16160006,129.1461848
35.160865,129.1476562
35.16029044,129.1483616
35.15958271,129.1479016
35.16200283,129.1625451
35.16360757,129.1643901
35.16394494,129.1639888
35.1642231,129.1650574
35.16542016,129.1643062
35.16483293,129.1635075
35.16473674,129.1631988
35.16371822,129.1631952
35.16386748,129.1626705
35.16212196,129.1679581
35.16618763,129.1651075
35.16492835,129.166703
35.16245426,129.1699496
35.16280161,129.1685167
35.17015607,129.1686
35.17028786,129.1698863
35.19637151,129.1293457
35.20017944,129.1304837
35.2021452,129.1355645
35.20895965,129.1171758
35.20891954,129.1176145
35.20884226,129.1181736
35.20903627,129.1186375
35.20980093,129.1188018
35.20903309,129.1199554
35.21137407,129.1192627
35.20704749,129.1192582
35.20467811,129.1181494
35.21781497,129.1389903
35.20447043,129.1133034
35.2046948,129.1114505
35.21715092,129.1377179
35.21729055,129.1372475
35.20654223,129.1173623
35.20705301,129.1176878
35.20859601,129.1165338
35.20586685,129.1114226
35.22021852,129.150744
35.22027027,129.1500417
35.22095477,129.1491507
35.22427889,129.1521964
35.22477201,129.149633
35.22103114,129.152491
35.2221602,129.1512987
35.22105226,129.1292376
35.22838464,129.1488821
35.22818734,129.1497252
35.22717992,129.1495022
35.22579557,129.1500539
35.22215106,129.1503649
35.222483,129.128793
35.22204855,129.1296908
35.22353467,129.1470451
35.22698151,129.1485657
35.22840498,129.1467403
35.22244938,129.1195468
35.22874862,129.161729
35.22779618,129.1623526
35.23001084,129.1588798
35.23268538,129.1582038
35.23332095,129.1586633
35.23029233,129.1586641
35.23216715,129.1482764
35.2326268,129.1463823
35.23108746,129.1490191
35.233305,129.155888
35.23202256,129.1555
35.22943955,129.1573557
35.22677578,129.1606683
35.22947373,129.1594324
35.23455186,129.1439375
35.23420099,129.1438667
35.18891375,129.1287373
35.18582528,129.1274209
35.18693752,129.1270411
35.18493149,129.1275733
35.18277491,129.1278179
35.18147974,129.1275146
35.18262868,129.1241599
35.18175931,129.1255642
35.18144846,129.1250658
35.182021,129.126501
35.1780665,129.1271929
35.17869216,129.1267953
35.1720828,129.1781233
35.17018425,129.182399
35.19157464,129.1823249
35.19105439,129.1820648
35.19071223,129.1820269
35.16867828,129.1806208
35.16466581,129.1779832
35.17309627,129.1665564
35.17922616,129.1711673
35.17671338,129.1672229
35.17388872,129.1657005
35.17304838,129.1640418
35.17210885,129.1642589
35.17133673,129.1639405
35.17235666,129.1647345
35.16687229,129.1660832
35.17659159,129.1807024
35.17903451,129.1769831
35.17508436,129.1836666
35.17937598,129.1761647
35.18368043,129.2040699
35.18275278,129.199456
35.182208,129.1992391
35.18401024,129.2008139
35.18219886,129.1992978
35.1790614,129.197206
35.17150354,129.1976439
35.17017295,129.1972951
35.18076133,129.2030277
35.18082999,129.2042803
35.18468883,129.2041836
35.18861824,129.2042416
35.19080432,129.2046692
35.19283821,129.2058961
35.19055906,129.2057636
35.18013056,129.2012508
35.20993303,129.1249649
35.21123174,129.1239175
35.2103084,129.1253106
35.21122278,129.1258504
35.21251497,129.1264723
35.21186914,129.1271004
35.2094081,129.1232554
35.20173684,129.1242807
35.19734622,129.1234075
35.19650194,129.1201675
35.217974,129.129702
35.19841585,129.1169214
35.19930932,129.1168018
35.19904804,129.1177646
35.19945436,129.119637
35.19958086,129.1215495
35.19990249,129.1189404
35.20729121,129.1221389
35.19770342,129.1334272
35.18537642,129.1243185
35.18544722,129.1225189
35.18704308,129.122475
35.18431238,129.1233926
35.19015679,129.1171815
35.18990766,129.117804
35.19025916,129.1178088
35.18980434,129.1192299
35.18904364,129.1186376
35.19014915,129.1189821
35.17899174,129.1236596
35.18740521,129.1223043
35.18867414,129.1244628
35.18962111,129.1253763
35.18881633,129.1256506
35.19002075,129.1260186
35.19080266,129.1243275
35.19195773,129.1222462
35.19147847,129.1233815
35.19303772,129.1253356
35.19074926,129.1271596
35.18819837,129.1232814
35.18979467,129.1241599
35.18856169,129.1220128
35.19228335,129.1269722
35.19084591,129.125492
35.19135726,129.1247853
35.1901923,129.125988
35.19164766,129.1284458
35.19278239,129.1314482
35.19116063,129.1313708
35.19041107,129.1266938
35.18977389,129.132186
35.19170613,129.129907
35.16947949,129.1695893
35.17221061,129.1695955
35.16776387,129.1726931
35.16455641,129.1688162
35.16735915,129.1725995
35.16393813,129.1712332
35.17483896,129.1818605
35.17470673,129.1813
35.15864108,129.1709157
35.15983952,129.1718878
35.16450637,129.1683984
35.16305411,129.1647663
35.16258963,129.1717955
35.16270865,129.1734657
35.16255572,129.1743635
35.16358278,129.1753442
35.16364606,129.1734682
35.16295638,129.1795062
35.16030816,129.1783923
35.15768067,129.1825471
35.17567198,129.1733118
35.17655678,129.1787258
35.17542181,129.1777214
35.1654412,129.1583571
35.16615906,129.1586966
35.16756611,129.1567187
35.17052571,129.1554544
35.16621228,129.1616062
35.06287334,129.013783
35.06455024,129.0137409
35.06513517,129.0134659
35.06619328,129.0126983
35.06342449,129.0151074
35.06318492,129.0156407
35.06249672,129.0177896
35.07049436,129.0182978
35.07096216,129.0174806
35.07155714,129.0159519
35.07195036,129.0161501
35.07291546,129.0157748
35.07426963,129.0154135
35.07674386,129.017281
35.07726612,129.017281
35.07735546,129.0216809
35.07807733,129.0201114
35.07728737,129.0158122
35.07824007,129.0161821
35.08039326,129.0202255
35.09856775,129.0206871
35.09803197,129.0214721
35.10139643,129.0175024
35.10674959,129.0125065
35.11777524,129.0117072
35.08990447,129.0235651
35.08883137,129.0235651
35.11710881,129.0181837
35.0984208,129.0145737
35.10371783,129.0166384
35.10142254,129.0187487
35.0998486,129.0143369
35.11743515,129.0126509
35.07541025,129.0159721
35.07139932,129.0174212
35.09941068,129.0157428
35.09074973,129.021516
35.10691055,129.0138834
35.11534818,129.017627
35.07098116,129.0161219
35.09257211,129.0172849
35.09733693,129.0207839
35.11443718,129.0257774
35.11421741,129.0262018
35.113817,129.0262018
35.11382567,129.0172736
35.11441703,129.0172619
35.11221239,129.0199887
35.11435118,129.0188351
35.11569408,129.0210969
35.11698878,129.0193302
35.11687318,129.0199941
35.11939209,129.0183102
35.11981077,129.018711
35.11988567,129.0191911
35.11928214,129.0175529
35.11914286,129.015742
35.11948072,129.0160179
35.10784301,129.0109147
35.10780978,129.0113964
35.10657408,129.0122214
35.10654922,129.0130674
35.108463,129.012849
35.109363,129.011223
35.1086644,129.011378
35.10939391,129.0095579
35.109581,129.012619
35.109378,129.013097
35.11105413,129.0135599
35.11190835,129.0135599
35.11204468,129.0157733
35.1117674,129.0148891
35.112243,129.015632
35.11072643,129.0133237
35.1107043,129.0159552
35.11090726,129.0165393
35.11097943,129.0167516
35.10889371,129.0175336
35.10902773,129.0179274
35.10853465,129.0183144
35.10855922,129.0177053
35.10855922,129.014397
35.11087988,129.0086381
35.11347903,129.0088466
35.11376139,129.0087746
35.11511933,129.0086193
35.11551307,129.0087869
35.11660912,129.0092087
35.11695234,129.0093794
35.11195881,129.0103096
35.115605,129.010698
35.115605,129.010797
35.114243,129.011006
