종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2018-12-31 23:58,부산광역시 강서구 봉림동,강서소방서/강동119안전센터
구급,1차출동,2018-12-31 23:56,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2018-12-31 23:56,부산광역시 강서구 봉림동,강서소방서/강동119안전센터
구급,1차출동,2018-12-31 23:53,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2018-12-31 23:52,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구조,1차출동,2018-12-31 23:49,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2018-12-31 23:47,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2018-12-31 23:46,부산광역시 영도구 청학동,항만소방서/청학119안전센터
기타,1차출동,2018-12-31 23:41,부산광역시 수영구 남천동,남부소방서/대연119안전센터
기타,1차출동,2018-12-31 23:36,부산광역시 연제구 거제동,동래소방서/수안119안전센터
구급,1차출동,2018-12-31 23:36,부산광역시 연제구 거제동,동래소방서/수안119안전센터
구조,1차출동,2018-12-31 23:35,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2018-12-31 23:33,부산광역시 수영구 광안동,남부소방서/광안119안전센터
기타,1차출동,2018-12-31 23:33,부산광역시 사상구 학장동,북부소방서/학장119안전센터
화재,1차출동,2018-12-31 23:29,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2018-12-31 23:28,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2018-12-31 23:18,부산광역시 연제구 거제동,동래소방서/수안119안전센터
구급,1차출동,2018-12-31 23:18,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-12-31 23:16,부산광역시 사상구 학장동,북부소방서/학장119안전센터
구급,1차출동,2018-12-31 23:15,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
기타,1차출동,2018-12-31 23:12,부산광역시 사상구 모라동,북부소방서/모라119안전센터
화재,1차출동,2018-12-31 23:02,부산광역시 연제구 연산동,동래소방서/연산119안전센터
화재,1차출동,2018-12-31 22:47,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
화재,1차출동,2018-12-31 22:39,부산광역시 북구 구포동,북부소방서/구포119안전센터
화재,1차출동,2018-12-31 22:36,부산광역시 강서구 봉림동,강서소방서/강동119안전센터
기타,1차출동,2018-12-31 21:34,부산광역시 중구 대청동1가,중부소방서/중앙119안전센터
화재,1차출동,2018-12-31 21:13,부산광역시 금정구 구서동,금정소방서/부곡119안전센터
화재,1차출동,2018-12-31 16:47,부산광역시 사하구 당리동,사하소방서/하단119안전센터
기타,1차출동,2018-12-30 16:01,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2018-12-31 23:58,부산광역시 강서구 봉림동,강서소방서/강동119안전센터
구급,1차출동,2018-12-31 23:56,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2018-12-31 23:56,부산광역시 강서구 봉림동,강서소방서/강동119안전센터
구급,1차출동,2018-12-31 23:53,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2018-12-31 23:52,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구조,1차출동,2018-12-31 23:49,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2018-12-31 23:47,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2018-12-31 23:46,부산광역시 영도구 청학동,항만소방서/청학119안전센터
기타,1차출동,2018-12-31 23:41,부산광역시 수영구 남천동,남부소방서/대연119안전센터
