종별,재난규모,접수시각,재난지점,관할서/관할구역
구조,1차출동,2017-02-28 23:58,부산광역시 서구 서대신동2가,중부소방서/부민119안전센터
구급,1차출동,2017-02-28 23:58,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2017-02-28 23:56,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2017-02-28 23:56,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2017-02-28 23:55,부산광역시 북구 만덕동,북부소방서/구포119안전센터
구급,1차출동,2017-02-28 23:55,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2017-02-28 23:53,부산광역시 해운대구 재송동,해운대소방서/센텀119안전센터
구급,1차출동,2017-02-28 23:52,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-02-28 23:51,부산광역시 남구 대연동,남부소방서/대연119안전센터
화재,1차출동,2017-02-28 23:47,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구조,1차출동,2017-02-28 23:35,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2017-02-28 23:35,부산광역시 중구 남포동6가,중부소방서/충무119안전센터
화재,1차출동,2017-02-28 23:27,부산광역시 서구 초장동,중부소방서/충무119안전센터
구조,1차출동,2017-02-28 23:26,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2017-02-28 23:25,부산광역시 금정구 구서동,금정소방서/남산119안전센터
구급,1차출동,2017-02-28 23:21,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2017-02-28 23:14,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2017-02-28 23:13,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구조,1차출동,2017-02-28 23:04,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2017-02-28 23:03,부산광역시 연제구 연산동,동래소방서/연산119안전센터
기타,1차출동,2017-02-28 23:01,부산광역시 중구 중앙동4가,중부소방서/중앙119안전센터
구조,1차출동,2017-02-28 22:57,부산광역시 서구 동대신동3가,중부소방서/부민119안전센터
구급,1차출동,2017-02-28 22:57,부산광역시 동래구 명륜동,동래소방서/온천119안전센터
구급,1차출동,2017-02-28 22:57,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2017-02-28 22:56,부산광역시 기장군 정관읍 모전리,기장소방서/정관119안전센터
구급,1차출동,2017-02-28 22:51,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2017-02-28 22:51,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구조,1차출동,2017-02-28 22:49,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2017-02-28 22:48,부산광역시 동구 초량동,중부소방서/초량119안전센터
구조,1차출동,2017-02-28 22:45,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2017-02-28 22:44,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2017-02-28 22:43,부산광역시 사하구 다대동,사하소방서/다대119안전센터
기타,1차출동,2017-02-28 22:43,부산광역시 영도구 동삼동,항만소방서/청학119안전센터
구급,1차출동,2017-02-28 22:38,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2017-02-28 22:37,부산광역시 부산진구 부암동,부산진소방서/당감119안전센터
구급,1차출동,2017-02-28 22:33,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2017-02-28 22:29,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2017-02-28 22:27,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구급,1차출동,2017-02-28 22:25,부산광역시 해운대구 우동,해운대소방서/센텀119안전센터
기타,1차출동,2017-02-28 22:24,부산광역시 수영구 남천동,남부소방서/대연119안전센터
기타,1차출동,2017-02-28 22:23,부산광역시 중구 보수동1가,중부소방서/부민119안전센터
구급,1차출동,2017-02-28 22:22,부산광역시 중구 부평동3가,중부소방서/창선119안전센터
기타,1차출동,2017-02-28 22:19,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2017-02-28 22:19,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2017-02-28 22:15,부산광역시 기장군 기장읍 교리,기장소방서/기장119안전센터
