종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2020-12-31 23:53,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2020-12-31 23:51,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-12-31 23:50,부산광역시 해운대구 우동,해운대소방서/센텀119안전센터
구급,1차출동,2020-12-31 23:48,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2020-12-31 23:34,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2020-12-31 23:28,부산광역시 연제구 거제동,동래소방서/수안119안전센터
기타,1차출동,2020-12-31 23:18,부산광역시 동래구 명장동,금정소방서/서동119안전센터
구급,1차출동,2020-12-31 23:16,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구조,1차출동,2020-12-31 23:16,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구급,1차출동,2020-12-31 23:11,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2020-12-31 23:10,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2020-12-31 23:07,부산광역시 수영구 남천동,남부소방서/대연119안전센터
구급,1차출동,2020-12-31 23:04,부산광역시 남구 대연동,남부소방서/감만119안전센터
구급,1차출동,2020-12-31 22:45,부산광역시 해운대구 재송동,해운대소방서/우동119안전센터
구급,1차출동,2020-12-31 22:45,부산광역시 서구 암남동,중부소방서/충무119안전센터
화재,1차출동,2020-12-31 22:43,부산광역시 중구 부평동3가,중부소방서/창선119안전센터
구급,1차출동,2020-12-31 22:38,부산광역시 기장군 장안읍 좌천리,기장소방서/장안119안전센터
구조,1차출동,2020-12-31 22:37,부산광역시 연제구 연산동,동래소방서/연산119안전센터
화재,1차출동,2020-12-31 22:30,부산광역시 수영구 수영동,남부소방서/망미119안전센터
구급,1차출동,2020-12-31 22:07,부산광역시 금정구 남산동,금정소방서/남산119안전센터
화재,1차출동,2020-12-31 21:33,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2020-12-31 21:01,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
화재,1차출동,2020-12-31 19:24,부산광역시 수영구 광안동,남부소방서/망미119안전센터
구급,1차출동,2020-12-31 18:26,부산광역시 영도구 청학동,항만소방서/청학119안전센터
화재,1차출동,2020-12-31 16:33,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구급,1차출동,2020-12-31 16:11,부산광역시 영도구 청학동,항만소방서/청학119안전센터
구급,1차출동,2020-12-31 15:28,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2020-12-31 15:13,부산광역시 동구 좌천동,부산진소방서/수정119안전센터
구조,1차출동,2020-12-31 07:11,부산광역시 남구 용호동,남부소방서/용당119안전센터
구조,1차출동,2020-12-31 01:56,부산광역시 강서구 대저1동,강서소방서/대저119안전센터
구조,1차출동,2020-12-30 08:29,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2020-12-31 23:53,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2020-12-31 23:51,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-12-31 23:50,부산광역시 해운대구 우동,해운대소방서/센텀119안전센터
