종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2017-12-31 23:57,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2017-12-31 23:57,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2017-12-31 23:51,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구급,1차출동,2017-12-31 23:50,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2017-12-31 23:48,부산광역시 중구 영주동,중부소방서/중앙119안전센터
구급,1차출동,2017-12-31 23:40,부산광역시 기장군 정관읍 매학리,기장소방서/정관119안전센터
구급,1차출동,2017-12-31 23:37,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
기타,1차출동,2017-12-31 23:37,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2017-12-31 23:37,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2017-12-31 23:29,부산광역시 서구 남부민동,중부소방서/충무119안전센터
구조,1차출동,2017-12-31 23:27,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2017-12-31 23:26,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
구급,1차출동,2017-12-31 23:19,부산광역시 금정구 구서동,금정소방서/부곡119안전센터
구조,1차출동,2017-12-31 23:16,부산광역시 해운대구 재송동,남부소방서/광안119안전센터
화재,1차출동,2017-12-31 23:10,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2017-12-31 23:06,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2017-12-31 23:04,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구조,1차출동,2017-12-31 22:57,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2017-12-31 22:46,부산광역시 기장군 장안읍 월내리,기장소방서/정관119안전센터
구급,1차출동,2017-12-31 22:41,부산광역시 남구 우암동,남부소방서/감만119안전센터
화재,1차출동,2017-12-31 22:31,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2017-12-31 22:28,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2017-12-31 22:20,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
기타,1차출동,2017-12-31 21:46,부산광역시 중구 중앙동4가,중부소방서/중앙119안전센터
기타,1차출동,2017-12-31 21:39,부산광역시 중구 중앙동4가,중부소방서/중앙119안전센터
구급,1차출동,2017-12-31 21:36,부산광역시 동구 초량동,중부소방서/초량119안전센터
화재,1차출동,2017-12-31 19:25,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
화재,1차출동,2017-12-31 17:21,부산광역시 기장군 정관읍 매학리,기장소방서/정관119안전센터
구급,1차출동,2017-12-31 15:28,부산광역시 해운대구 재송동,해운대소방서/우동119안전센터
