종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2017-08-08 13:22,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-07 12:45,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-07 12:10,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-06 16:40,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-06 15:33,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-05 16:22,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-05 14:30,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-04 11:27,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-03 14:07,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-03 12:02,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-02 12:10,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-02 11:20,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-01 14:30,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-01 12:00,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-01 12:21,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-01 10:30,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-08-31 23:57,부산광역시 동래구 수안동,동래소방서/수안119안전센터
기타,1차출동,2017-08-31 23:57,부산광역시 서구 동대신동1가,중부소방서/부민119안전센터
구급,1차출동,2017-08-31 23:54,부산광역시 동래구 사직동,동래소방서/사직119안전센터
기타,1차출동,2017-08-31 23:50,부산광역시 영도구 남항동1가,항만소방서/영선119안전센터
구급,1차출동,2017-08-31 23:48,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2017-08-31 23:46,부산광역시 영도구 봉래동1가,항만소방서/영선119안전센터
구급,1차출동,2017-08-31 23:46,부산광역시 중구 부평동1가,중부소방서/창선119안전센터
구급,1차출동,2017-08-31 23:42,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구조,1차출동,2017-08-31 23:38,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2017-08-31 23:38,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2017-08-31 23:36,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2017-08-31 23:34,부산광역시 중구 중앙동4가,중부소방서/중앙119안전센터
구급,1차출동,2017-08-31 23:33,부산광역시 기장군 기장읍 죽성리,기장소방서/기장119안전센터
구급,1차출동,2017-08-31 23:30,부산광역시 사상구 엄궁동,북부소방서/학장119안전센터
구조,1차출동,2017-08-31 23:26,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2017-08-31 23:23,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2017-08-31 23:23,부산광역시 해운대구 재송동,해운대소방서/센텀119안전센터
구급,1차출동,2017-08-31 23:12,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
구급,1차출동,2017-08-31 23:06,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2017-08-31 23:01,부산광역시 금정구 구서동,금정소방서/부곡119안전센터
구급,1차출동,2017-08-31 23:01,부산광역시 금정구 구서동,금정소방서/남산119안전센터
구급,1차출동,2017-08-31 23:00,부산광역시 기장군 기장읍 동부리,기장소방서/기장119안전센터
구급,1차출동,2017-08-31 22:59,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
구급,1차출동,2017-08-31 22:58,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2017-08-31 22:55,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2017-08-31 22:39,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2017-08-31 22:38,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2017-08-31 22:32,부산광역시 기장군 정관읍 모전리,기장소방서/정관119안전센터
기타,1차출동,2017-08-31 22:26,부산광역시 금정구 노포동,금정소방서/남산119안전센터
구급,1차출동,2017-08-31 22:25,부산광역시 기장군 장안읍 좌천리,기장소방서/정관119안전센터
구급,1차출동,2017-08-31 22:23,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구조,1차출동,2017-08-31 22:22,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2017-08-31 22:22,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구조,1차출동,2017-08-31 22:21,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구조,1차출동,2017-08-31 22:20,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2017-08-31 22:20,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2017-08-31 22:19,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2017-08-31 22:17,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구급,1차출동,2017-08-31 22:13,부산광역시 금정구 구서동,금정소방서/부곡119안전센터
구조,1차출동,2017-08-31 22:13,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구조,1차출동,2017-08-31 22:04,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2017-08-31 22:03,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구조,1차출동,2017-08-31 22:00,부산광역시 사하구 신평동,사하소방서/신평119안전센터
기타,1차출동,2017-08-31 21:56,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2017-08-31 21:55,부산광역시 중구 남포동6가,중부소방서/충무119안전센터
구급,1차출동,2017-08-31 21:54,부산광역시 부산진구 부암동,부산진소방서/당감119안전센터
구급,1차출동,2017-08-31 21:52,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2017-08-31 21:47,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2017-08-31 21:45,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2017-08-31 21:43,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
