종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2017-07-22 10:26,부산광역시 영도구 영선동3가,항만소방서/영선119안전센터
구조,1차출동,2017-07-22 10:20,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구조,1차출동,2017-07-22 10:20,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2017-07-22 10:19,부산광역시 사상구 주례동,북부소방서/주례119안전센터
기타,1차출동,2017-07-22 10:18,부산광역시 중구 광복동2가,중부소방서/중앙119안전센터
구조,1차출동,2017-07-22 10:11,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2017-07-22 10:11,부산광역시 동구 수정동,부산진소방서/수정119안전센터
구조,1차출동,2017-07-22 10:11,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구조,1차출동,2017-07-22 10:08,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2017-07-22 10:03,부산광역시 중구 중앙동4가,중부소방서/중앙119안전센터
구급,1차출동,2017-07-22 10:00,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2017-07-22 9:58,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2017-07-22 9:57,부산광역시 서구 서대신동2가,중부소방서/부민119안전센터
구급,1차출동,2017-07-22 9:49,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2017-07-22 9:44,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구조,1차출동,2017-07-22 9:43,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2017-07-22 9:36,부산광역시 남구 용호동,남부소방서/용당119안전센터
구조,1차출동,2017-07-22 9:34,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2017-07-22 9:34,부산광역시 기장군 장안읍 반룡리,기장소방서/정관119안전센터
구조,1차출동,2017-07-22 9:32,부산광역시 강서구 성북동,강서소방서/가덕도지역대
구급,1차출동,2017-07-22 9:30,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2017-07-22 9:30,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구조,1차출동,2017-07-22 9:28,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2017-07-22 9:28,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구조,1차출동,2017-07-22 9:27,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2017-07-22 9:20,부산광역시 사상구 엄궁동,북부소방서/학장119안전센터
구조,1차출동,2017-07-22 9:16,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구조,1차출동,2017-07-22 9:09,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2017-07-22 9:07,부산광역시 북구 덕천동,북부소방서/구포119안전센터
기타,1차출동,2017-07-22 9:06,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구조,1차출동,2017-07-22 9:05,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2017-07-22 8:23,부산광역시 남구 용당동,남부소방서/용당119안전센터
구급,1차출동,2017-07-22 8:08,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2017-07-22 8:08,부산광역시 기장군 장안읍 임랑리,기장소방서/정관119안전센터
구조,1차출동,2017-07-29 7:20,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구조,1차출동,2017-07-29 7:20,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구조,1차출동,2017-07-29 7:20,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구조,1차출동,2017-07-29 7:20,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구조,1차출동,2017-07-29 7:20,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
