종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2018-02-28 23:50,부산광역시 사상구 학장동,북부소방서/학장119안전센터
구급,1차출동,2018-02-28 23:49,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2018-02-28 23:45,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-02-28 23:33,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2018-02-28 23:33,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2018-02-28 23:33,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-02-28 23:33,부산광역시 부산진구 부암동,부산진소방서/당감119안전센터
구조,1차출동,2018-02-28 23:31,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-02-28 23:30,부산광역시 동래구 온천동,동래소방서/온천119안전센터
기타,1차출동,2018-02-28 23:27,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2018-02-28 23:27,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-02-28 23:26,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구급,1차출동,2018-02-28 23:25,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2018-02-28 23:24,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2018-02-28 23:24,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구조,1차출동,2018-02-28 23:21,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2018-02-28 23:18,부산광역시 동래구 낙민동,동래소방서/수안119안전센터
구급,1차출동,2018-02-28 23:15,부산광역시 사상구 삼락동,북부소방서/삼락119안전센터
화재,1차출동,2018-02-28 23:14,부산광역시 강서구 생곡동,강서소방서/지사119안전센터
구급,1차출동,2018-02-28 23:10,부산광역시 기장군 철마면 고촌리,기장소방서/기장119안전센터
구급,1차출동,2018-02-28 23:08,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2018-02-28 23:07,부산광역시 기장군 철마면 안평리,기장소방서/기장119안전센터
구급,1차출동,2018-02-28 23:07,부산광역시 강서구 강동동,강서소방서/강동119안전센터
구급,1차출동,2018-02-28 23:01,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구급,1차출동,2018-02-28 22:54,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2018-02-28 22:53,부산광역시 동구 수정동,부산진소방서/수정119안전센터
구급,1차출동,2018-02-28 22:53,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2018-02-28 22:51,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2018-02-28 22:48,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구조,1차출동,2018-02-28 22:47,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2018-02-28 22:45,부산광역시 사상구 모라동,북부소방서/모라119안전센터
화재,1차출동,2018-02-28 22:44,부산광역시 강서구 생곡동,강서소방서/지사119안전센터
구급,1차출동,2018-02-28 22:43,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2018-02-28 22:41,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
구급,1차출동,2018-02-28 22:41,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2018-02-28 22:33,부산광역시 연제구 연산동,동래소방서/연산119안전센터
기타,1차출동,2018-02-28 22:31,부산광역시 연제구 연산동,동래소방서/양정119안전센터
구급,1차출동,2018-02-28 22:31,부산광역시 해운대구 재송동,해운대소방서/우동119안전센터
화재,1차출동,2018-02-28 22:29,부산광역시 기장군 기장읍 교리,기장소방서/기장119안전센터
구급,1차출동,2018-02-28 22:26,부산광역시 기장군 기장읍 청강리,기장소방서/기장119안전센터
구급,1차출동,2018-02-28 22:22,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2018-02-28 22:19,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2018-02-28 22:16,부산광역시 수영구 수영동,남부소방서/광안119안전센터
구급,1차출동,2018-02-28 22:16,부산광역시 수영구 수영동,남부소방서/광안119안전센터
구급,1차출동,2018-02-28 22:14,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2018-02-28 22:13,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2018-02-28 22:08,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2018-02-28 21:59,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2018-02-28 21:55,부산광역시 북구 구포동,북부소방서/구포119안전센터
기타,1차출동,2018-02-28 21:52,부산광역시 영도구 청학동,항만소방서/청학119안전센터
구급,1차출동,2018-02-28 21:43,부산광역시 수영구 남천동,남부소방서/대연119안전센터
구급,1차출동,2018-02-28 21:38,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2018-02-28 21:35,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2018-02-28 21:27,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
기타,1차출동,2018-02-28 21:24,부산광역시 사상구 삼락동,북부소방서/삼락119안전센터
화재,1차출동,2018-02-28 21:21,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2018-02-28 21:20,부산광역시 남구 문현동,부산진소방서/범일119안전센터
기타,1차출동,2018-02-28 21:19,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2018-02-28 21:17,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구조,1차출동,2018-02-28 21:15,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
기타,1차출동,2018-02-28 21:12,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2018-02-28 21:12,부산광역시 사상구 엄궁동,북부소방서/학장119안전센터
구급,1차출동,2018-02-28 21:12,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2018-02-28 21:11,부산광역시 수영구 남천동,남부소방서/대연119안전센터
구조,1차출동,2018-02-28 21:11,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2018-02-28 21:10,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-02-28 21:07,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구조,1차출동,2018-02-28 21:05,부산광역시 동래구 복천동,동래소방서/수안119안전센터
기타,1차출동,2018-02-28 21:05,부산광역시 강서구 화전동,강서소방서/녹산119안전센터
구급,1차출동,2018-02-28 21:04,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2018-02-28 21:03,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2018-02-28 21:01,부산광역시 수영구 망미동,남부소방서/망미119안전센터
화재,1차출동,2018-02-28 21:00,부산광역시 기장군 철마면 고촌리,기장소방서/기장119안전센터
구조,1차출동,2018-02-28 20:59,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2018-02-28 20:57,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구급,1차출동,2018-02-28 20:57,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구급,1차출동,2018-02-28 20:56,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구조,1차출동,2018-02-28 20:56,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구조,1차출동,2018-02-28 20:53,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2018-02-28 20:52,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
화재,1차출동,2018-02-28 20:50,부산광역시 강서구 송정동,강서소방서/녹산119안전센터
구조,1차출동,2018-02-28 20:50,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2018-02-28 20:49,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구급,1차출동,2018-02-28 20:49,부산광역시 사상구 주례동,북부소방서/주례119안전센터
기타,1차출동,2018-02-28 20:43,부산광역시 강서구 대저2동,강서소방서/대저119안전센터
구급,1차출동,2018-02-28 20:42,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2018-02-28 20:40,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
화재,1차출동,2018-02-28 20:38,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2018-02-28 20:38,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
기타,1차출동,2018-02-28 20:34,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2018-02-28 20:33,부산광역시 부산진구 당감동,부산진소방서/가야119안전센터
구급,1차출동,2018-02-28 20:33,부산광역시 북구 구포동,북부소방서/구포119안전센터
화재,1차출동,2018-02-28 20:31,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2018-02-28 20:29,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2018-02-28 20:29,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2018-02-28 20:24,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2018-02-28 20:22,부산광역시 강서구 대저2동,강서소방서/대저119안전센터
화재,1차출동,2018-02-28 20:20,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2018-02-28 20:16,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-02-28 20:14,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구조,1차출동,2018-02-28 20:12,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2018-02-28 20:11,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2018-02-28 20:10,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구조,1차출동,2018-02-28 20:07,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2018-02-28 20:07,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2018-02-28 20:04,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2018-02-28 20:04,부산광역시 부산진구 연지동,부산진소방서/부암119안전센터
구급,1차출동,2018-02-28 20:01,부산광역시 강서구 대저1동,강서소방서/대저119안전센터
구급,1차출동,2018-02-28 19:56,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2018-02-28 19:52,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2018-02-28 19:52,부산광역시 서구 남부민동,중부소방서/충무119안전센터
구급,1차출동,2018-02-28 19:51,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2018-02-28 19:49,부산광역시 남구 감만동,남부소방서/감만119안전센터
구급,1차출동,2018-02-28 19:46,부산광역시 사하구 당리동,사하소방서/하단119안전센터
구조,1차출동,2018-02-28 19:44,부산광역시 동래구 명장동,금정소방서/서동119안전센터
구급,1차출동,2018-02-28 19:38,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구조,1차출동,2018-02-28 19:36,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
기타,1차출동,2018-02-28 19:36,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구급,1차출동,2018-02-28 19:36,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
화재,1차출동,2018-02-28 19:29,부산광역시 강서구 미음동,강서소방서/지사119안전센터
구급,1차출동,2018-02-28 19:24,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2018-02-28 19:22,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2018-02-28 19:20,부산광역시 영도구 대교동2가,항만소방서/영선119안전센터
