종별,재난규모,접수시각,재난지점,관할서/관할구역
기타,1차출동,2017-01-02 19:07,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구조,1차출동,2017-01-31 23:53,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2017-01-31 23:50,부산광역시 기장군 기장읍 교리,기장소방서/기장119안전센터
구급,1차출동,2017-01-31 23:50,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2017-01-31 23:45,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2017-01-31 23:42,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2017-01-31 23:32,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
기타,1차출동,2017-01-31 23:31,부산광역시 동구 좌천동,항만소방서/부두119안전센터
구급,1차출동,2017-01-31 23:30,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2017-01-31 23:24,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
구급,1차출동,2017-01-31 23:21,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구급,1차출동,2017-01-31 23:20,부산광역시 기장군 정관읍 달산리,기장소방서/정관119안전센터
구급,1차출동,2017-01-31 23:19,부산광역시 동래구 명장동,동래소방서/수안119안전센터
구조,1차출동,2017-01-31 23:16,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2017-01-31 23:16,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2017-01-31 23:11,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
기타,1차출동,2017-01-31 23:08,부산광역시 수영구 수영동,남부소방서/망미119안전센터
구조,1차출동,2017-01-31 22:58,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2017-01-31 22:43,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2017-01-31 22:43,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2017-01-31 22:42,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
