종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2017-10-31 23:59,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2017-10-31 23:58,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2017-10-31 23:57,부산광역시 강서구 지사동,강서소방서/녹산119안전센터
구급,1차출동,2017-10-31 23:51,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구조,1차출동,2017-10-31 23:51,부산광역시 영도구 봉래동3가,항만소방서/영선119안전센터
구급,1차출동,2017-10-31 23:47,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2017-10-31 23:46,부산광역시 강서구 대저1동,강서소방서/대저119안전센터
구조,1차출동,2017-10-31 23:38,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2017-10-31 23:38,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2017-10-31 23:36,부산광역시 영도구 영선동2가,항만소방서/영선119안전센터
구급,1차출동,2017-10-31 23:30,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2017-10-31 23:22,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2017-10-31 23:03,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구조,1차출동,2017-10-31 23:02,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2017-10-31 23:00,부산광역시 부산진구 부암동,부산진소방서/당감119안전센터
구급,1차출동,2017-10-31 23:00,부산광역시 사상구 삼락동,북부소방서/삼락119안전센터
구급,1차출동,2017-10-31 22:56,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구급,1차출동,2017-10-31 22:50,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2017-10-31 22:47,부산광역시 영도구 청학동,항만소방서/청학119안전센터
구조,1차출동,2017-10-31 22:43,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2017-10-31 22:43,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2017-10-31 22:42,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
기타,1차출동,2017-10-31 22:37,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2017-10-31 22:35,부산광역시 남구 우암동,남부소방서/대연119안전센터
구급,1차출동,2017-10-31 22:33,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
구급,1차출동,2017-10-31 22:33,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
구급,1차출동,2017-10-31 22:26,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구조,1차출동,2017-10-31 22:24,부산광역시 중구 중앙동4가,항만소방서/부두119안전센터
구조,1차출동,2017-10-31 22:20,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2017-10-31 22:19,부산광역시 금정구 회동동,금정소방서/서동119안전센터
구조,1차출동,2017-10-31 22:19,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2017-10-31 22:19,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2017-10-31 22:19,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2017-10-31 22:18,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2017-10-31 22:17,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2017-10-31 22:14,부산광역시 해운대구 석대동,금정소방서/반송119안전센터
구조,1차출동,2017-10-31 22:14,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2017-10-31 22:09,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2017-10-31 22:06,부산광역시 중구 영주동,중부소방서/중앙119안전센터
구급,1차출동,2017-10-31 22:05,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2017-10-31 22:03,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2017-10-31 22:02,부산광역시 동구 초량동,중부소방서/초량119안전센터
구조,1차출동,2017-10-31 22:01,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2017-10-31 22:01,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2017-10-31 21:59,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2017-10-31 21:57,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2017-10-31 21:57,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2017-10-31 21:57,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2017-10-31 21:55,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구조,1차출동,2017-10-31 21:53,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
기타,1차출동,2017-10-31 21:52,부산광역시 영도구 봉래동5가,항만소방서/청학119안전센터
구급,1차출동,2017-10-31 21:46,부산광역시 남구 우암동,남부소방서/감만119안전센터
구조,1차출동,2017-10-31 21:45,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2017-10-31 21:35,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
구급,1차출동,2017-10-31 21:33,부산광역시 북구 구포동,북부소방서/구포119안전센터
기타,1차출동,2017-10-31 21:27,부산광역시 중구 대청동2가,중부소방서/창선119안전센터
구급,1차출동,2017-10-31 21:26,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2017-10-31 21:23,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2017-10-31 21:18,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2017-10-31 21:18,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2017-10-31 21:16,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2017-10-31 21:15,부산광역시 서구 동대신동1가,중부소방서/부민119안전센터
구급,1차출동,2017-10-31 21:14,부산광역시 연제구 연산동,동래소방서/양정119안전센터
구급,1차출동,2017-10-31 21:13,부산광역시 사하구 장림동,사하소방서/신평119안전센터
기타,1차출동,2017-10-31 21:13,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구조,1차출동,2017-10-31 21:10,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
구급,1차출동,2017-10-31 21:10,부산광역시 서구 남부민동,중부소방서/충무119안전센터
구급,1차출동,2017-10-31 21:09,부산광역시 수영구 수영동,남부소방서/망미119안전센터
구급,1차출동,2017-10-31 21:07,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2017-10-31 21:05,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2017-10-31 21:02,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2017-10-31 20:59,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2017-10-31 20:59,부산광역시 북구 덕천동,북부소방서/화명119안전센터
구급,1차출동,2017-10-31 20:56,부산광역시 연제구 거제동,동래소방서/사직119안전센터
