종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2020-04-30 23:58,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구조,1차출동,2020-04-30 23:57,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2020-04-30 23:50,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
화재,1차출동,2020-04-30 23:48,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2020-04-30 23:43,부산광역시 기장군 장안읍 좌천리,기장소방서/장안119안전센터
화재,1차출동,2020-04-30 23:43,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2020-04-30 23:40,부산광역시 서구 동대신동1가,중부소방서/부민119안전센터
구급,1차출동,2020-04-30 23:38,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-04-30 23:37,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2020-04-30 23:36,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2020-04-30 23:36,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
화재,1차출동,2020-04-30 23:35,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2020-04-30 23:34,부산광역시 남구 대연동,남부소방서/감만119안전센터
기타,1차출동,2020-04-30 23:30,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2020-04-30 23:27,부산광역시 동래구 수안동,동래소방서/수안119안전센터
구조,1차출동,2020-04-30 23:26,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2020-04-30 23:25,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-04-30 23:24,부산광역시 사하구 당리동,사하소방서/하단119안전센터
구급,1차출동,2020-04-30 23:24,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2020-04-30 23:24,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2020-04-30 23:21,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-04-30 23:19,부산광역시 중구 부평동4가,중부소방서/창선119안전센터
구급,1차출동,2020-04-30 23:17,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2020-04-30 23:17,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2020-04-30 23:16,부산광역시 강서구 명지동,강서소방서/신호119안전센터
기타,1차출동,2020-04-30 23:13,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2020-04-30 23:07,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2020-04-30 23:05,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2020-04-30 23:05,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구조,1차출동,2020-04-30 23:02,부산광역시 기장군 장안읍 좌천리,기장소방서/장안119안전센터
구급,1차출동,2020-04-30 23:02,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2020-04-30 23:01,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2020-04-30 22:56,부산광역시 연제구 연산동,동래소방서/양정119안전센터
구급,1차출동,2020-04-30 22:56,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구급,1차출동,2020-04-30 22:56,부산광역시 영도구 대교동1가,항만소방서/영선119안전센터
구급,1차출동,2020-04-30 22:56,부산광역시 해운대구 재송동,해운대소방서/우동119안전센터
화재,1차출동,2020-04-30 22:55,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구조,1차출동,2020-04-30 22:47,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-04-30 22:41,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2020-04-30 22:41,부산광역시 남구 감만동,남부소방서/감만119안전센터
구급,1차출동,2020-04-30 22:39,부산광역시 기장군 기장읍 청강리,기장소방서/기장119안전센터
구급,1차출동,2020-04-30 22:38,부산광역시 영도구 영선동1가,항만소방서/영선119안전센터
구급,1차출동,2020-04-30 22:36,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2020-04-30 22:35,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2020-04-30 22:31,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2020-04-30 22:31,부산광역시 기장군 정관읍 매학리,기장소방서/정관119안전센터
구급,1차출동,2020-04-30 22:30,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2020-04-30 22:22,부산광역시 연제구 거제동,동래소방서/사직119안전센터
