종별,재난규모,접수시각,재난지점,관할서/관할구역
구조,1차출동,2020-10-13 19:58,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2020-10-13 19:57,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2020-10-13 19:53,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구조,1차출동,2020-10-13 19:51,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2020-10-13 19:50,부산광역시 영도구 대교동1가,항만소방서/영선119안전센터
구조,1차출동,2020-10-13 19:38,부산광역시 금정구 금성동,금정소방서/산성119안전센터
구급,1차출동,2020-10-13 19:37,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2020-10-13 19:36,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2020-10-13 19:36,부산광역시 금정구 회동동,금정소방서/서동119안전센터
구급,1차출동,2020-10-13 19:34,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2020-10-13 19:30,부산광역시 사상구 엄궁동,북부소방서/학장119안전센터
구급,1차출동,2020-10-13 19:28,부산광역시 중구 중앙동5가,중부소방서/중앙119안전센터
구급,1차출동,2020-10-13 19:27,부산광역시 강서구 지사동,강서소방서/지사119안전센터
기타,1차출동,2020-10-13 19:24,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2020-10-13 19:24,부산광역시 동구 수정동,부산진소방서/수정119안전센터
구급,1차출동,2020-10-13 19:20,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2020-10-13 19:18,부산광역시 강서구 강동동,강서소방서/강동119안전센터
구급,1차출동,2020-10-13 19:16,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2020-10-13 19:16,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2020-10-13 19:10,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2020-10-13 19:10,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구조,1차출동,2020-10-13 19:03,부산광역시 강서구 대저1동,강서소방서/대저119안전센터
구급,1차출동,2020-10-13 19:01,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2020-10-13 19:00,부산광역시 기장군 장안읍 월내리,기장소방서/장안119안전센터
구급,1차출동,2020-10-13 18:58,부산광역시 연제구 연산동,동래소방서/연산119안전센터
화재,1차출동,2020-10-13 18:54,부산광역시 강서구 대저2동,강서소방서/신호119안전센터
구조,1차출동,2020-10-13 18:52,부산광역시 강서구 대저1동,강서소방서/대저119안전센터
구급,1차출동,2020-10-13 18:49,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2020-10-13 18:43,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2020-10-13 18:37,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구급,1차출동,2020-10-13 18:32,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2020-10-13 18:32,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2020-10-13 18:32,부산광역시 금정구 구서동,금정소방서/남산119안전센터
구조,1차출동,2020-10-13 18:31,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2020-10-13 18:26,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2020-10-13 18:17,부산광역시 금정구 구서동,금정소방서/부곡119안전센터
구급,1차출동,2020-10-13 18:06,부산광역시 부산진구 당감동,부산진소방서/가야119안전센터
구조,1차출동,2020-10-13 18:05,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2020-10-13 18:02,부산광역시 남구 용호동,남부소방서/용당119안전센터
