종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2018-06-29 17:00,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2018-06-13 14:56,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2018-06-23 14:00,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-23 14:00,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-23 11:00,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-19 16:00,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-19 13:05,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-19 15:20,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-19 14:15,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-18 13:10,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-06 12:50,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2018-06-13 13:40,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구조,1차출동,2018-06-23 23:31,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구급,1차출동,2018-06-30 10:55,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구급,1차출동,2018-06-30 23:59,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2018-06-30 23:58,부산광역시 부산진구 연지동,부산진소방서/부암119안전센터
구급,1차출동,2018-06-30 23:57,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2018-06-30 23:40,부산광역시 사하구 당리동,사하소방서/하단119안전센터
구급,1차출동,2018-06-30 23:39,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2018-06-30 23:37,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구조,1차출동,2018-06-30 23:36,부산광역시 금정구 금사동,금정소방서/서동119안전센터
구급,1차출동,2018-06-30 23:36,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2018-06-30 23:32,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2018-06-30 23:30,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
구급,1차출동,2018-06-30 23:30,부산광역시 부산진구 연지동,부산진소방서/부암119안전센터
구급,1차출동,2018-06-30 23:30,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구조,1차출동,2018-06-30 23:28,부산광역시 수영구 광안동,남부소방서/광안119안전센터
기타,1차출동,2018-06-30 23:25,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2018-06-30 23:25,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2018-06-30 23:25,부산광역시 동래구 명륜동,동래소방서/온천119안전센터
구급,1차출동,2018-06-30 23:24,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
기타,1차출동,2018-06-30 23:23,부산광역시 기장군 정관읍 달산리,기장소방서/정관119안전센터
구급,1차출동,2018-06-30 23:22,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2018-06-30 23:22,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2018-06-30 23:22,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2018-06-30 23:16,부산광역시 중구 남포동5가,중부소방서/충무119안전센터
구급,1차출동,2018-06-30 23:14,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2018-06-30 23:13,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2018-06-30 23:12,부산광역시 기장군 기장읍 동부리,기장소방서/기장119안전센터
구조,1차출동,2018-06-30 23:10,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2018-06-30 23:07,부산광역시 남구 감만동,남부소방서/감만119안전센터
구급,1차출동,2018-06-30 23:07,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2018-06-30 22:59,부산광역시 연제구 연산동,동래소방서/연산119안전센터
기타,1차출동,2018-06-30 22:59,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-06-30 22:56,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2018-06-30 22:54,부산광역시 서구 남부민동,중부소방서/충무119안전센터
구급,1차출동,2018-06-30 22:53,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구조,1차출동,2018-06-30 22:52,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2018-06-30 22:51,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2018-06-30 22:51,부산광역시 동구 수정동,부산진소방서/수정119안전센터
구급,1차출동,2018-06-30 22:47,부산광역시 영도구 영선동4가,항만소방서/영선119안전센터
구급,1차출동,2018-06-30 22:45,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2018-06-30 22:41,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2018-06-30 22:39,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2018-06-30 22:35,부산광역시 남구 대연동,남부소방서/대연119안전센터
기타,1차출동,2018-06-30 22:31,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2018-06-30 22:29,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2018-06-30 22:26,부산광역시 중구 영주동,중부소방서/중앙119안전센터
구급,1차출동,2018-06-30 22:25,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2018-06-30 22:24,부산광역시 사하구 당리동,사하소방서/하단119안전센터
기타,1차출동,2018-06-30 22:20,부산광역시 사상구 삼락동,북부소방서/삼락119안전센터
구급,1차출동,2018-06-30 22:20,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2018-06-30 22:18,부산광역시 사상구 삼락동,북부소방서/삼락119안전센터
구급,1차출동,2018-06-30 22:17,부산광역시 영도구 봉래동1가,항만소방서/영선119안전센터
구급,1차출동,2018-06-30 22:15,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구급,1차출동,2018-06-30 22:15,부산광역시 강서구 명지동,강서소방서/신호119안전센터
기타,1차출동,2018-06-30 22:15,부산광역시 사상구 삼락동,북부소방서/삼락119안전센터
구급,1차출동,2018-06-30 22:13,부산광역시 서구 서대신동3가,중부소방서/부민119안전센터
구급,1차출동,2018-06-30 22:11,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2018-06-30 22:06,부산광역시 기장군 정관읍 매학리,기장소방서/정관119안전센터
구급,1차출동,2018-06-30 22:05,부산광역시 사하구 당리동,사하소방서/하단119안전센터
구급,1차출동,2018-06-30 22:05,부산광역시 기장군 정관읍 용수리,기장소방서/정관119안전센터
구급,1차출동,2018-06-30 22:05,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2018-06-30 22:03,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-06-30 22:01,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2018-06-30 22:01,부산광역시 서구 토성동4가,중부소방서/충무119안전센터
구급,1차출동,2018-06-30 21:59,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구조,1차출동,2018-06-30 21:56,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-06-30 21:56,부산광역시 사상구 학장동,북부소방서/학장119안전센터
구급,1차출동,2018-06-30 21:53,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구급,1차출동,2018-06-30 21:50,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2018-06-30 21:47,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2018-06-30 21:46,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구조,1차출동,2018-06-30 21:46,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
기타,1차출동,2018-06-30 21:44,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2018-06-30 21:42,부산광역시 남구 대연동,남부소방서/대연119안전센터
