종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2018-08-31 23:55,부산광역시 금정구 금사동,금정소방서/서동119안전센터
구급,1차출동,2018-08-31 23:54,부산광역시 금정구 청룡동,금정소방서/남산119안전센터
구급,1차출동,2018-08-31 23:53,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2018-08-31 23:51,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구조,1차출동,2018-08-31 23:49,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구급,1차출동,2018-08-31 23:47,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2018-08-31 23:44,부산광역시 수영구 수영동,남부소방서/망미119안전센터
구급,1차출동,2018-08-31 23:43,부산광역시 수영구 수영동,남부소방서/망미119안전센터
기타,1차출동,2018-08-31 23:43,부산광역시 기장군 정관읍 모전리,기장소방서/정관119안전센터
구급,1차출동,2018-08-31 23:42,부산광역시 서구 서대신동1가,중부소방서/부민119안전센터
구급,1차출동,2018-08-31 23:40,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2018-08-31 23:39,부산광역시 동구 초량동,중부소방서/초량119안전센터
구조,1차출동,2018-08-31 23:30,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
기타,1차출동,2018-08-31 23:29,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
기타,1차출동,2018-08-31 23:23,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2018-08-31 23:21,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2018-08-31 23:19,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2018-08-31 23:17,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
기타,1차출동,2018-08-31 23:14,부산광역시 중구 중앙동4가,동래소방서/연산119안전센터
구급,1차출동,2018-08-31 23:13,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2018-08-31 23:11,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구조,1차출동,2018-08-31 23:05,부산광역시 서구 서대신동3가,중부소방서/부민119안전센터
구급,1차출동,2018-08-31 23:04,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-08-31 23:02,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
구급,1차출동,2018-08-31 23:01,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2018-08-31 22:57,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2018-08-31 22:56,부산광역시 수영구 남천동,남부소방서/대연119안전센터
구급,1차출동,2018-08-31 22:51,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2018-08-31 22:51,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2018-08-31 22:51,부산광역시 금정구 서동,금정소방서/서동119안전센터
화재,1차출동,2018-08-31 22:48,부산광역시 사하구 구평동,사하소방서/신평119안전센터
구조,1차출동,2018-08-31 22:47,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구급,1차출동,2018-08-31 22:47,부산광역시 기장군 정관읍 임곡리,기장소방서/정관119안전센터
구급,1차출동,2018-08-31 22:46,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구조,1차출동,2018-08-31 22:44,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2018-08-31 22:43,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2018-08-31 22:41,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2018-08-31 22:41,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2018-08-31 22:40,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-08-31 22:37,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-08-31 22:35,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2018-08-31 22:33,부산광역시 기장군 기장읍 동부리,기장소방서/기장119안전센터
구급,1차출동,2018-08-31 22:30,부산광역시 수영구 광안동,남부소방서/광안119안전센터
화재,1차출동,2018-08-31 22:28,부산광역시 사상구 학장동,북부소방서/학장119안전센터
