종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2018-04-30 23:56,부산광역시 서구 충무동1가,중부소방서/충무119안전센터
구조,1차출동,2018-04-30 23:52,부산광역시 남구 대연동,남부소방서/감만119안전센터
구급,1차출동,2018-04-30 23:51,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2018-04-30 23:51,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2018-04-30 23:48,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구조,1차출동,2018-04-30 23:38,부산광역시 중구 대창동1가,중부소방서/중앙119안전센터
구급,1차출동,2018-04-30 23:37,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-04-30 23:29,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-04-30 23:27,부산광역시 기장군 정관읍 용수리,기장소방서/정관119안전센터
구급,1차출동,2018-04-30 23:24,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2018-04-30 23:21,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2018-04-30 23:19,부산광역시 연제구 거제동,동래소방서/수안119안전센터
구조,1차출동,2018-04-30 23:17,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2018-04-30 23:16,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2018-04-30 23:15,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2018-04-30 23:09,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구급,1차출동,2018-04-30 23:08,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2018-04-30 23:08,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구조,1차출동,2018-04-30 23:04,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구급,1차출동,2018-04-30 23:04,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2018-04-30 22:59,부산광역시 남구 용호동,남부소방서/용당119안전센터
기타,1차출동,2018-04-30 22:54,부산광역시 영도구 영선동1가,항만소방서/영선119안전센터
구급,1차출동,2018-04-30 22:52,부산광역시 동래구 칠산동,동래소방서/수안119안전센터
구조,1차출동,2018-04-30 22:51,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2018-04-30 22:50,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-04-30 22:48,부산광역시 서구 토성동3가,중부소방서/충무119안전센터
구급,1차출동,2018-04-30 22:48,부산광역시 기장군 기장읍 동부리,기장소방서/기장119안전센터
구급,1차출동,2018-04-30 22:48,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2018-04-30 22:46,부산광역시 서구 아미동1가,중부소방서/부민119안전센터
구급,1차출동,2018-04-30 22:44,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2018-04-30 22:40,부산광역시 금정구 청룡동,금정소방서/남산119안전센터
기타,1차출동,2018-04-30 22:39,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2018-04-30 22:35,부산광역시 부산진구 부암동,부산진소방서/당감119안전센터
구급,1차출동,2018-04-30 22:27,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2018-04-30 22:24,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2018-04-30 22:22,부산광역시 서구 충무동1가,중부소방서/충무119안전센터
구급,1차출동,2018-04-30 22:21,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
화재,1차출동,2018-04-30 22:21,부산광역시 영도구 영선동1가,항만소방서/영선119안전센터
구급,1차출동,2018-04-30 22:16,부산광역시 기장군 정관읍 모전리,기장소방서/정관119안전센터
구급,1차출동,2018-04-30 22:14,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2018-04-30 22:11,부산광역시 북구 구포동,북부소방서/모라119안전센터
기타,1차출동,2018-04-30 22:10,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2018-04-30 22:10,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2018-04-30 22:09,부산광역시 수영구 수영동,남부소방서/망미119안전센터
구조,1차출동,2018-04-30 22:09,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2018-04-30 22:09,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2018-04-30 22:08,부산광역시 남구 용호동,금정소방서/부곡119안전센터
구급,1차출동,2018-04-30 22:05,부산광역시 영도구 신선동2가,항만소방서/영선119안전센터
구급,1차출동,2018-04-30 22:05,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2018-04-30 22:05,부산광역시 사하구 당리동,사하소방서/하단119안전센터
구급,1차출동,2018-04-30 22:04,부산광역시 남구 감만동,남부소방서/감만119안전센터
구조,1차출동,2018-04-30 22:01,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구조,1차출동,2018-04-30 21:55,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2018-04-30 21:55,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2018-04-30 21:54,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2018-04-30 21:53,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2018-04-30 21:51,부산광역시 해운대구 우동,해운대소방서/센텀119안전센터
구급,1차출동,2018-04-30 21:47,부산광역시 서구 충무동1가,중부소방서/충무119안전센터
구급,1차출동,2018-04-30 21:46,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2018-04-30 21:45,부산광역시 수영구 수영동,남부소방서/망미119안전센터
구조,1차출동,2018-04-30 21:45,부산광역시 동래구 명장동,금정소방서/서동119안전센터
기타,1차출동,2018-04-30 21:39,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2018-04-30 21:37,부산광역시 부산진구 부암동,부산진소방서/당감119안전센터
구급,1차출동,2018-04-30 21:33,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2018-04-30 21:21,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2018-04-30 21:17,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-04-30 21:17,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2018-04-30 21:17,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2018-04-30 21:14,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2018-04-30 21:13,부산광역시 금정구 구서동,금정소방서/남산119안전센터
구조,1차출동,2018-04-30 21:09,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2018-04-30 21:09,부산광역시 동래구 명장동,동래소방서/수안119안전센터
구급,1차출동,2018-04-30 21:06,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2018-04-30 21:05,부산광역시 금정구 청룡동,금정소방서/남산119안전센터
구급,1차출동,2018-04-30 21:02,부산광역시 남구 우암동,남부소방서/감만119안전센터
구급,1차출동,2018-04-30 21:00,부산광역시 금정구 서동,금정소방서/서동119안전센터
기타,1차출동,2018-04-30 20:58,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구급,1차출동,2018-04-30 20:57,부산광역시 중구 남포동6가,중부소방서/충무119안전센터
