종별,재난규모,접수시각,재난지점,관할서/관할구역
기타,1차출동,2018-11-30 23:56,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2018-11-30 23:54,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2018-11-30 23:53,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구조,1차출동,2018-11-30 23:52,부산광역시 영도구,항만소방서/영선119안전센터
구급,1차출동,2018-11-30 23:49,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구조,1차출동,2018-11-30 23:48,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2018-11-30 23:41,부산광역시 동래구 명장동,금정소방서/서동119안전센터
구급,1차출동,2018-11-30 23:41,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2018-11-30 23:40,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2018-11-30 23:39,부산광역시 기장군 기장읍 동부리,기장소방서/기장119안전센터
구급,1차출동,2018-11-30 23:33,부산광역시 금정구 구서동,금정소방서/남산119안전센터
구급,1차출동,2018-11-30 23:30,부산광역시 남구 대연동,남부소방서/감만119안전센터
화재,1차출동,2018-11-30 23:27,부산광역시 기장군 일광면 청광리,기장소방서/장안119안전센터
화재,1차출동,2018-11-30 23:25,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2018-11-30 23:18,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2018-11-30 23:17,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구조,1차출동,2018-11-30 23:17,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2018-11-30 23:12,부산광역시 서구 아미동2가,중부소방서/부민119안전센터
구급,1차출동,2018-11-30 23:11,부산광역시 사상구 학장동,북부소방서/학장119안전센터
구급,1차출동,2018-11-30 23:07,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2018-11-30 23:06,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구급,1차출동,2018-11-30 23:03,부산광역시 연제구 연산동,동래소방서/양정119안전센터
구급,1차출동,2018-11-30 23:03,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
기타,1차출동,2018-11-30 23:01,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2018-11-30 23:00,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2018-11-30 22:50,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2018-11-30 22:47,부산광역시 서구 충무동2가,중부소방서/충무119안전센터
구급,1차출동,2018-11-30 22:44,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2018-11-30 22:43,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2018-11-30 22:36,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2018-11-30 22:27,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2018-11-30 22:26,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2018-11-30 22:25,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구조,1차출동,2018-11-30 22:23,부산광역시 남구 우암동,남부소방서/감만119안전센터
구급,1차출동,2018-11-30 22:23,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2018-11-30 22:22,부산광역시 강서구 송정동,강서소방서/녹산119안전센터
구급,1차출동,2018-11-30 22:18,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구조,1차출동,2018-11-30 22:11,부산광역시 중구 남포동5가,중부소방서/충무119안전센터
구급,1차출동,2018-11-30 22:09,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2018-11-30 22:08,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2018-11-30 22:05,부산광역시 동래구 수안동,동래소방서/수안119안전센터
구조,1차출동,2018-11-30 22:04,부산광역시 동구 수정동,부산진소방서/수정119안전센터
구급,1차출동,2018-11-30 22:02,부산광역시 영도구 봉래동1가,항만소방서/영선119안전센터
구급,1차출동,2018-11-30 22:00,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2018-11-30 21:57,부산광역시 부산진구 범천동,부산진소방서/가야119안전센터
구급,1차출동,2018-11-30 21:57,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-11-30 21:56,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
구급,1차출동,2018-11-30 21:42,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2018-11-30 21:42,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2018-11-30 21:41,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2018-11-30 21:38,부산광역시 북구 덕천동,북부소방서/구포119안전센터
기타,1차출동,2018-11-30 21:34,부산광역시 동구 수정동,부산진소방서/수정119안전센터
구급,1차출동,2018-11-30 21:21,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2018-11-30 21:08,부산광역시 남구 용호동,남부소방서/용당119안전센터
화재,1차출동,2018-11-30 21:08,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2018-11-30 21:05,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2018-11-30 21:03,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
구급,1차출동,2018-11-30 20:58,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구조,1차출동,2018-11-30 20:53,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구급,1차출동,2018-11-30 20:50,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-11-30 20:46,부산광역시 해운대구 재송동,해운대소방서/우동119안전센터
구급,1차출동,2018-11-30 20:46,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2018-11-30 20:41,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2018-11-30 20:39,부산광역시 남구 우암동,남부소방서/감만119안전센터
구급,1차출동,2018-11-30 20:37,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2018-11-30 20:34,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2018-11-30 20:25,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
기타,1차출동,2018-11-30 20:24,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2018-11-30 20:22,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2018-11-30 20:21,부산광역시 동래구 칠산동,동래소방서/수안119안전센터
구급,1차출동,2018-11-30 20:15,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2018-11-30 20:11,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2018-11-30 20:06,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2018-11-30 20:02,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2018-11-30 19:55,부산광역시 해운대구 재송동,해운대소방서/센텀119안전센터
구급,1차출동,2018-11-30 19:51,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2018-11-30 19:50,부산광역시 기장군 기장읍 내리,기장소방서/송정119안전센터
구급,1차출동,2018-11-30 19:48,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2018-11-30 19:46,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2018-11-30 19:46,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2018-11-30 19:45,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2018-11-30 19:41,부산광역시 기장군 기장읍 시랑리,기장소방서/송정119안전센터
구조,1차출동,2018-11-30 19:38,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2018-11-30 19:37,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2018-11-30 19:36,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2018-11-30 19:36,부산광역시 영도구 남항동1가,항만소방서/영선119안전센터
구급,1차출동,2018-11-30 19:32,부산광역시 서구 아미동1가,중부소방서/부민119안전센터
구조,1차출동,2018-11-30 19:31,부산광역시 동래구 낙민동,동래소방서/수안119안전센터
구급,1차출동,2018-11-30 19:29,부산광역시 강서구 구랑동,강서소방서/지사119안전센터
