종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2019-11-30 23:57,부산광역시 기장군 정관읍 모전리,기장소방서/정관119안전센터
구급,1차출동,2019-11-30 23:56,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2019-11-30 23:55,부산광역시 기장군 철마면 송정리,기장소방서/정관119안전센터
구급,1차출동,2019-11-30 23:55,부산광역시 서구 부용동2가,중부소방서/부민119안전센터
구급,1차출동,2019-11-30 23:50,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2019-11-30 23:48,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-11-30 23:42,부산광역시 서구 아미동2가,중부소방서/부민119안전센터
구급,1차출동,2019-11-30 23:41,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2019-11-30 23:40,부산광역시 연제구 연산동,동래소방서/양정119안전센터
화재,1차출동,2019-11-30 23:38,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-11-30 23:36,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구조,1차출동,2019-11-30 23:36,부산광역시 동구 좌천동,부산진소방서/수정119안전센터
구급,1차출동,2019-11-30 23:34,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구조,1차출동,2019-11-30 23:31,부산광역시 서구 부용동2가,중부소방서/부민119안전센터
구급,1차출동,2019-11-30 23:29,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2019-11-30 23:29,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-11-30 23:28,부산광역시 남구 대연동,남부소방서/감만119안전센터
구급,1차출동,2019-11-30 23:27,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구조,1차출동,2019-11-30 23:25,부산광역시 기장군 정관읍 매학리,기장소방서/정관119안전센터
구급,1차출동,2019-11-30 23:23,부산광역시 중구 보수동1가,중부소방서/부민119안전센터
구급,1차출동,2019-11-30 23:23,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구급,1차출동,2019-11-30 23:21,부산광역시 서구 충무동1가,중부소방서/충무119안전센터
구급,1차출동,2019-11-30 23:17,부산광역시 금정구 금사동,금정소방서/서동119안전센터
구조,1차출동,2019-11-30 23:16,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2019-11-30 23:14,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2019-11-30 23:13,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2019-11-30 23:12,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구조,1차출동,2019-11-30 23:11,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구급,1차출동,2019-11-30 23:11,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2019-11-30 23:09,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
구급,1차출동,2019-11-30 23:02,부산광역시 연제구 연산동,동래소방서/연산119안전센터
기타,1차출동,2019-11-30 23:02,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-11-30 23:01,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2019-11-30 23:00,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구조,1차출동,2019-11-30 22:58,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2019-11-30 22:57,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2019-11-30 22:55,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-11-30 22:50,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2019-11-30 22:44,부산광역시 기장군 기장읍 청강리,기장소방서/기장119안전센터
구급,1차출동,2019-11-30 22:43,부산광역시 중구 부평동4가,중부소방서/창선119안전센터
구급,1차출동,2019-11-30 22:43,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2019-11-30 22:42,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
기타,1차출동,2019-11-30 22:39,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2019-11-30 22:27,부산광역시 금정구 금성동,금정소방서/산성119안전센터
구급,1차출동,2019-11-30 22:22,부산광역시 기장군 기장읍 교리,기장소방서/기장119안전센터
구급,1차출동,2019-11-30 22:16,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2019-11-30 22:15,부산광역시 금정구 구서동,금정소방서/남산119안전센터
구급,1차출동,2019-11-30 22:15,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-11-30 22:15,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-11-30 22:06,부산광역시 강서구 송정동,강서소방서/녹산119안전센터
