종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2020-01-31 23:58,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
화재,1차출동,2020-01-31 23:53,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2020-01-31 23:52,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2020-01-31 23:51,부산광역시 부산진구 당감동,부산진소방서/가야119안전센터
기타,1차출동,2020-01-31 23:50,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2020-01-31 23:46,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
기타,1차출동,2020-01-31 23:39,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구조,1차출동,2020-01-31 23:37,부산광역시 강서구 봉림동,강서소방서/강동119안전센터
구급,1차출동,2020-01-31 23:35,부산광역시 연제구 거제동,동래소방서/사직119안전센터
기타,1차출동,2020-01-31 23:31,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2020-01-31 23:24,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2020-01-31 23:21,부산광역시 남구 감만동,남부소방서/감만119안전센터
구급,1차출동,2020-01-31 23:20,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구조,1차출동,2020-01-31 23:10,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2020-01-31 23:08,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2020-01-31 23:07,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2020-01-31 23:06,부산광역시 영도구 봉래동2가,항만소방서/영선119안전센터
구급,1차출동,2020-01-31 23:05,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2020-01-31 23:05,부산광역시 사하구 신평동,사하소방서/신평119안전센터
구급,1차출동,2020-01-31 23:05,부산광역시 동래구 수안동,동래소방서/수안119안전센터
구급,1차출동,2020-01-31 22:57,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
구급,1차출동,2020-01-31 22:56,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2020-01-31 22:53,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2020-01-31 22:48,부산광역시 부산진구 연지동,부산진소방서/부암119안전센터
구급,1차출동,2020-01-31 22:42,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구급,1차출동,2020-01-31 22:42,부산광역시 해운대구 재송동,해운대소방서/센텀119안전센터
구급,1차출동,2020-01-31 22:31,부산광역시 부산진구 부암동,부산진소방서/당감119안전센터
구급,1차출동,2020-01-31 22:29,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2020-01-31 22:19,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
화재,1차출동,2020-01-31 22:13,부산광역시 사하구 구평동,사하소방서/신평119안전센터
구급,1차출동,2020-01-31 22:09,부산광역시 동래구 복천동,동래소방서/수안119안전센터
구급,1차출동,2020-01-31 22:05,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2020-01-31 22:00,부산광역시 남구 감만동,남부소방서/감만119안전센터
구급,1차출동,2020-01-31 21:59,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2020-01-31 21:48,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-01-31 21:42,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구조,1차출동,2020-01-31 21:42,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구조,1차출동,2020-01-31 21:40,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2020-01-31 21:31,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2020-01-31 21:29,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-01-31 21:18,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2020-01-31 21:16,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2020-01-31 21:10,부산광역시 동래구 수안동,동래소방서/수안119안전센터
구조,1차출동,2020-01-31 21:09,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2020-01-31 21:09,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2020-01-31 21:02,부산광역시 금정구 서동,금정소방서/서동119안전센터
기타,1차출동,2020-01-31 21:02,부산광역시 기장군 일광면 원리,기장소방서/장안119안전센터
구조,1차출동,2020-01-31 20:57,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2020-01-31 20:51,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2020-01-31 20:47,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2020-01-31 20:46,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2020-01-31 20:41,부산광역시 기장군 정관읍 용수리,기장소방서/정관119안전센터
기타,1차출동,2020-01-31 20:37,부산광역시 해운대구 재송동,해운대소방서/센텀119안전센터
구급,1차출동,2020-01-31 20:36,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2020-01-31 20:34,부산광역시 강서구 송정동,강서소방서/녹산119안전센터
구조,1차출동,2020-01-31 20:33,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2020-01-31 20:30,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2020-01-31 20:27,부산광역시 동래구 낙민동,동래소방서/수안119안전센터
구급,1차출동,2020-01-31 20:23,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2020-01-31 20:20,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2020-01-31 20:18,부산광역시 해운대구 재송동,해운대소방서/센텀119안전센터
구급,1차출동,2020-01-31 20:17,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2020-01-31 20:17,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2020-01-31 20:11,부산광역시 해운대구 우동,해운대소방서/센텀119안전센터
구급,1차출동,2020-01-31 20:10,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2020-01-31 20:10,부산광역시 북구 구포동,북부소방서/구포119안전센터
기타,1차출동,2020-01-31 20:08,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-01-31 20:04,부산광역시 사상구 모라동,북부소방서/모라119안전센터
화재,1차출동,2020-01-31 19:47,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2020-01-31 19:47,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2020-01-31 19:46,부산광역시 금정구 청룡동,금정소방서/남산119안전센터
구급,1차출동,2020-01-31 19:40,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
