종별,재난규모,접수시각,재난지점,관할서/관할구역
구조,1차출동,2021-08-13 14:01,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구조,1차출동,2021-08-13 11:18,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구조,1차출동,2021-08-15 15:48,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구조,1차출동,2021-08-15 16:14,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
기타,1차출동,2021-08-25 18:20,부산광역시 사하구 당리동,사하소방서/하단119안전센터
기타,1차출동,2021-08-25 18:07,부산광역시 사하구 구평동,사하소방서/신평119안전센터
기타,1차출동,2021-08-25 17:39,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2021-08-31 23:59,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
기타,1차출동,2021-08-31 23:58,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2021-08-31 23:58,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2021-08-31 23:55,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2021-08-31 23:55,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2021-08-31 23:54,부산광역시 남구 용당동,남부소방서/용당119안전센터
구조,1차출동,2021-08-31 23:52,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2021-08-31 23:49,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2021-08-31 23:36,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
구급,1차출동,2021-08-31 23:36,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2021-08-31 23:36,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2021-08-31 23:35,부산광역시 동구 범일동,부산진소방서/안창119안전센터
구급,1차출동,2021-08-31 23:35,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2021-08-31 23:30,부산광역시 서구 초장동,중부소방서/충무119안전센터
구급,1차출동,2021-08-31 23:27,부산광역시 남구 용당동,남부소방서/용당119안전센터
구급,1차출동,2021-08-31 23:27,부산광역시 중구 중앙동5가,중부소방서/중앙119안전센터
구조,1차출동,2021-08-31 23:20,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2021-08-31 23:19,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2021-08-31 23:15,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2021-08-31 23:11,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2021-08-31 23:10,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2021-08-31 23:06,부산광역시 기장군 일광면 이천리,기장소방서/장안119안전센터
구급,1차출동,2021-08-31 23:04,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2021-08-31 22:59,부산광역시 연제구 거제동,동래소방서/사직119안전센터
기타,1차출동,2021-08-31 22:56,부산광역시 남구 대연동,남부소방서/대연119안전센터
기타,1차출동,2021-08-31 22:56,부산광역시 부산진구 범천동,부산진소방서/안창119안전센터
구급,1차출동,2021-08-31 22:48,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2021-08-31 22:43,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2021-08-31 22:38,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2021-08-31 22:38,부산광역시 남구 용호동,남부소방서/용당119안전센터
기타,1차출동,2021-08-31 22:36,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2021-08-31 22:35,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2021-08-31 22:33,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2021-08-31 22:33,부산광역시 남구 우암동,남부소방서/감만119안전센터
구급,1차출동,2021-08-31 22:28,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구조,1차출동,2021-08-31 22:24,부산광역시 해운대구 반송동,해운대소방서/반송119안전센터
구급,1차출동,2021-08-31 22:23,부산광역시 해운대구 재송동,해운대소방서/우동119안전센터
기타,1차출동,2021-08-31 22:16,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2021-08-31 22:15,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2021-08-31 22:08,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2021-08-31 22:08,부산광역시 연제구 연산동,동래소방서/연산119안전센터
기타,1차출동,2021-08-31 22:05,부산광역시 동구 좌천동,항만소방서/부두119안전센터
구조,1차출동,2021-08-31 22:05,부산광역시 북구 화명동,북부소방서/화명119안전센터
구급,1차출동,2021-08-31 22:03,부산광역시 동래구 수안동,동래소방서/수안119안전센터
구급,1차출동,2021-08-31 21:59,부산광역시 연제구 거제동,동래소방서/수안119안전센터
구급,1차출동,2021-08-31 21:57,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2021-08-31 21:55,부산광역시 서구 충무동2가,중부소방서/충무119안전센터
구급,1차출동,2021-08-31 21:54,부산광역시 금정구 금사동,금정소방서/서동119안전센터
구급,1차출동,2021-08-31 21:54,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
화재,1차출동,2021-08-31 21:53,부산광역시 연제구 거제동,동래소방서/수안119안전센터
구급,1차출동,2021-08-31 21:53,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2021-08-31 21:51,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2021-08-31 21:51,부산광역시 영도구 영선동4가,항만소방서/영선119안전센터
구급,1차출동,2021-08-31 21:47,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2021-08-31 21:45,부산광역시 기장군 철마면 구칠리,기장소방서/기장119안전센터
구급,1차출동,2021-08-31 21:43,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2021-08-31 21:42,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2021-08-31 21:37,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2021-08-31 21:36,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2021-08-31 21:34,부산광역시 기장군 장안읍 좌천리,기장소방서/장안119안전센터
기타,1차출동,2021-08-31 21:34,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2021-08-31 21:33,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2021-08-31 21:32,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2021-08-31 21:32,부산광역시 남구 감만동,남부소방서/감만119안전센터
기타,1차출동,2021-08-31 21:27,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2021-08-31 21:25,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구조,1차출동,2021-08-31 21:24,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
