종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2021-10-31 23:56,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2021-10-31 23:52,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구급,1차출동,2021-10-31 23:52,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2021-10-31 23:45,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2021-10-31 23:43,부산광역시 남구 감만동,남부소방서/감만119안전센터
구급,1차출동,2021-10-31 23:39,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2021-10-31 23:37,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2021-10-31 23:36,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2021-10-31 23:35,부산광역시 남구 용당동,남부소방서/용당119안전센터
구급,1차출동,2021-10-31 23:34,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2021-10-31 23:32,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2021-10-31 23:31,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2021-10-31 23:28,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구급,1차출동,2021-10-31 23:20,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2021-10-31 23:17,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2021-10-31 23:17,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2021-10-31 23:19,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2021-10-31 23:11,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2021-10-31 23:11,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2021-10-31 23:09,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2021-10-31 23:05,부산광역시 연제구 연산동,동래소방서/연산119안전센터
기타,1차출동,2021-10-31 23:02,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2021-10-31 23:00,부산광역시 동래구 낙민동,동래소방서/수안119안전센터
구급,1차출동,2021-10-31 22:53,부산광역시 서구 동대신동2가,중부소방서/부민119안전센터
구급,1차출동,2021-10-31 22:48,부산광역시 사하구 하단동,사하소방서/하단119안전센터
기타,1차출동,2021-10-31 22:42,부산광역시 연제구 연산동,동래소방서/연산119안전센터
화재,1차출동,2021-10-31 22:33,부산광역시 서구 동대신동3가,중부소방서/부민119안전센터
구급,1차출동,2021-10-31 22:32,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2021-10-31 22:29,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구조,1차출동,2021-10-31 22:29,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2021-10-31 22:29,부산광역시 금정구 서동,금정소방서/서동119안전센터
기타,1차출동,2021-10-31 22:28,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구급,1차출동,2021-10-31 22:26,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2021-10-31 22:24,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2021-10-31 22:22,부산광역시 해운대구 반송동,해운대소방서/반송119안전센터
구급,1차출동,2021-10-31 22:21,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2021-10-31 22:20,부산광역시 서구 충무동1가,중부소방서/충무119안전센터
구급,1차출동,2021-10-31 22:11,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구조,1차출동,2021-10-31 22:10,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2021-10-31 22:10,부산광역시 사상구 학장동,북부소방서/학장119안전센터
기타,1차출동,2021-10-31 22:08,부산광역시 연제구 연산동,동래소방서/양정119안전센터
구급,1차출동,2021-10-31 22:06,부산광역시 사하구 당리동,사하소방서/하단119안전센터
구급,1차출동,2021-10-31 21:58,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2021-10-31 21:50,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2021-10-31 21:45,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2021-10-31 21:34,부산광역시 부산진구 개금동,부산진소방서/가야119안전센터
구급,1차출동,2021-10-31 21:33,부산광역시 해운대구 반송동,해운대소방서/반송119안전센터
구급,1차출동,2021-10-31 21:26,부산광역시 영도구 청학동,항만소방서/청학119안전센터
구급,1차출동,2021-10-31 21:20,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2021-10-31 21:12,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2021-10-31 21:12,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구조,1차출동,2021-10-31 21:04,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2021-10-31 21:04,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2021-10-31 21:02,부산광역시 동구 좌천동,항만소방서/부두119안전센터
구급,1차출동,2021-10-31 21:01,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2021-10-31 20:57,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2021-10-31 20:56,부산광역시 강서구 강동동,강서소방서/강동119안전센터
구급,1차출동,2021-10-31 20:54,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2021-10-31 20:51,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구조,1차출동,2021-10-31 20:50,부산광역시 중구 부평동1가,중부소방서/창선119안전센터
구급,1차출동,2021-10-31 20:48,부산광역시 연제구 연산동,동래소방서/양정119안전센터
구급,1차출동,2021-10-31 20:45,부산광역시 남구 우암동,남부소방서/감만119안전센터
구급,1차출동,2021-10-31 20:41,부산광역시 기장군 일광면 화전리,기장소방서/장안119안전센터
구급,1차출동,2021-10-31 20:36,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
기타,1차출동,2021-10-31 20:33,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2021-10-31 20:30,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2021-10-31 20:29,부산광역시 수영구 수영동,남부소방서/망미119안전센터
구급,1차출동,2021-10-31 20:25,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2021-10-31 20:17,부산광역시 연제구 연산동,동래소방서/양정119안전센터
구급,1차출동,2021-10-31 20:13,부산광역시 사하구 다대동,사하소방서/다대119안전센터
기타,1차출동,2021-10-31 20:12,부산광역시 동구 좌천동,항만소방서/부두119안전센터
구급,1차출동,2021-10-31 20:03,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2021-10-31 20:01,부산광역시 강서구 대저2동,강서소방서/대저119안전센터
구급,1차출동,2021-10-31 20:01,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2021-10-31 20:00,부산광역시 동래구 수안동,동래소방서/수안119안전센터
구조,1차출동,2021-10-31 07:00,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구조,1차출동,2021-10-30 07:00,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
기타,1차출동,2021-10-31 19:55,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2021-10-31 19:51,부산광역시 연제구 연산동,동래소방서/연산119안전센터
기타,1차출동,2021-10-31 19:49,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2021-10-31 19:47,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
구급,1차출동,2021-10-31 19:44,부산광역시 해운대구 반송동,해운대소방서/반송119안전센터
