"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",부흥초교,부산광역시 해운대구 좌동순환로 216,부산광역시 해운대구 좌동 1303,35.17578498,129.1781921,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,7.5~13.5,2022-03-21
"유치원",쁘띠포레유치원,부산광역시 해운대구 양운로 182,부산광역시 해운대구 좌동 1394,35.17870863,129.1699419,부산광역시 해운대구,부산광역시 해운대경찰서,N,,20,2022-03-21
"초등학교",삼어초교,부산광역시 해운대구 삼어로91번길 73,부산광역시 해운대구 반여동 1138,35.2086973,129.1158546,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,5~12,2022-03-21
"초등학교",상당초교,부산광역시 해운대구 세실로 173,부산광역시 해운대구 좌동 1405,35.179695,129.1760294,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3,12~12.5,2022-03-21
"유치원",서광자연유치원,부산광역시 해운대구 달맞이길117번라길 16,부산광역시 해운대구 중동 1494-9,35.15926763,129.1798671,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3,5~8.9,2022-03-21
"어린이집",세나어린이집,부산광역시 해운대구 윗반송로51번길 34,부산광역시 해운대구 반송동 216-10,35.22983963,129.1553873,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,4~11,2022-03-21
"어린이집",세종어린이집,부산광역시 해운대구 달맞이길117번라길 86,부산광역시 해운대구 중동 1484-13,35.161753,129.182313,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,6,2022-03-21
"유치원",센텀유치원,부산광역시 해운대구 센텀중앙로 142,부산광역시 해운대구 재송동 1197,35.17950161,129.1232765,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12.3~29.5,2022-03-21
"초등학교",센텀초교,부산광역시 해운대구 센텀중앙로 166,부산광역시 해운대구 재송동 1198,35.18114187,129.1219407,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,12.3~29.5,2022-03-21
"유치원",센텀향도,부산광역시 해운대구 해운대로61번길 107-22,부산광역시 해운대구 반여동 1291-833,35.19518162,129.1303175,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,,2022-03-21
"초등학교",송수초교,부산광역시 해운대구 해운대로76번길 35,부산광역시 해운대구 재송동 935-1,35.189832,129.119287,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,7~9,2022-03-21
"유치원",송수초교 병설유치원,부산광역시 해운대구 해운대로76번길 35,부산광역시 해운대구 재송동 935-1,35.189826,129.119229,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,7~9,2022-03-21
"초등학교",송운초교,부산광역시 해운대구 반송로 20,부산광역시 해운대구 반송동 893,35.2286112580,129.1573916628,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,4~11,2022-03-21
"초등학교",송정초교,부산광역시 해운대구 해운대로 1164-9,부산광역시 해운대구 송정동 935,35.18957289,129.2047827,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,5.5~15.5,2022-03-21
"초등학교",신곡초교,부산광역시 해운대구 좌동순환로 290,부산광역시 해운대구 좌동 1324,35.169981,129.1818694,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,12.5~16,2022-03-21
"초등학교",신도초교,부산광역시 해운대구 좌동순환로 34,부산광역시 해운대구 좌동 1346,35.16948362,129.1673789,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,9~14.5,2022-03-21
"초등학교",신재초교,부산광역시 해운대구 해운대로81번길 55,부산광역시 해운대구 재송동 1024-1,35.19176921,129.122731,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,5.5~9,2022-03-21
"초등학교",양운초교,부산광역시 해운대구 대천로67번길 36,부산광역시 해운대구 좌동 1372,35.174719,129.1667065,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,7~20,2022-03-21
"유치원",양운초교 병설유치원,부산광역시 해운대구 대천로67번길 36,부산광역시 해운대구 좌동 1372,35.174719,129.1667065,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,7~20,2022-03-21
"유치원",여명유치원,부산광역시 해운대구 재반로118번길 92,부산광역시 해운대구 재송동 1155-9,35.191034,129.130659,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,5.5~6.5,2022-03-21
"유치원",왕자와공주유치원,부산광역시 해운대구 좌동순환로299번길 11,부산광역시 해운대구 좌동 1439,35.16956973,129.1850498,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12.5~16,2022-03-21
"어린이집",우2동어린이집,부산광역시 해운대구 해운대로383번가길 3-9,부산광역시 해운대구 우동 1185-164,35.171533,129.139974,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,6~9,2022-03-21
"유치원",우주유치원,부산광역시 해운대구 선수촌로 95,부산광역시 해운대구 반여동 1199-11,35.20064959,129.1172223,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,26~33,2022-03-21
"초등학교",운봉초교,부산광역시 해운대구 신반송로 11-20,부산광역시 해운대구 반송동 229,35.22928177,129.1591812,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3,8~12.5,2022-03-21
"유치원",운봉초교 병설유치원,부산광역시 해운대구 신반송로 11-20,부산광역시 해운대구 반송동 229,35.22928177,129.1591812,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,8~12.5,2022-03-21
"초등학교",운송초교,부산광역시 해운대구 반송로 839,부산광역시 해운대구 반송동 683-1,35.22863884,129.1460864,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,10~20,2022-03-21
