"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",금명초교,부산광역시 북구 화명신도시로 197,,35.2417150388,129.0109953270,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",금명초교병설,부산광역시 북구 화명신도시로 197,,35.2417150388,129.0109953270,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",상학초교,부산광역시 북구 상학산복길 191,,35.2186785469,129.0400207956,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",신덕초교,부산광역시 북구 함박봉로140번가길 25,,35.2029403301,129.0325760618,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",신덕초교병설,부산광역시 북구 함박봉로140번가길 25,,35.2029403301,129.0325760618,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",두란노,부산광역시 북구 모분재로 151,,35.1966981042,129.0128194180,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",화정초교,부산광역시 북구 의성로 23,,35.2182045123,129.0099171383,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",21세기,부산광역시 북구 금곡대로330번길 20,,35.2377188807,129.0150767890,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",YMCA,부산광역시 북구 금곡대로616번길 10-9,,35.2598827791,129.0151964593,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",두란노,부산광역시 북구 모분재로 151,,35.1966981042,129.0128194180,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",서광자연,부산광역시 북구 덕천로381번길 41,,35.2118742133,129.0449681087,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",숲속은성,부산광역시 북구 낙동북로772번길 32,,35.1975297734,129.0048760342,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",장선,부산광역시 북구 시랑로114번길 45,,35.1942727859,129.0086859451,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",전원그림,부산광역시 북구 만덕1로104번길 46,,35.2152861637,129.0252590136,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",창의글로벌,부산광역시 북구 효열로 276,,35.2675013921,129.0184950821,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",햇살가득한,부산광역시 북구 덕천로52번길 25,,35.2073675895,129.0111088377,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",효림,부산광역시 북구 백양대로1016번길 100-47,,35.1983033814,128.9999758645,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",그린코아,부산광역시 북구 덕천로234번길 47,,35.2074079470,129.0307227141,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",금곡나래,부산광역시 북구 효열로220번길 35,,35.2627787834,129.0212639425,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",금란자연,부산광역시 북구 의성로33번길 190,,35.2244417140,129.0142378177,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",금화,부산광역시 북구 화명대로 85,,35.2345333417,129.0173605183,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",꽃사슴,부산광역시 북구 모분재로 92,,35.1995032215,129.0071120652,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",대림,부산광역시 북구 금곡대로 268,,35.2314080166,129.0151330739,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",백조명문,부산광역시 북구 효열로 39,,35.2495389904,129.0144027291,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",비젼이화,부산광역시 북구 화명신도시로 70,,35.2307818423,129.0115343907,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",소화,부산광역시 북구 가람로52번길 44,,35.2061541091,129.0016479266,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",수정캐슬,부산광역시 북구 화명대로94번길 102,,35.2300626688,129.0167343733,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",숲속은성,부산광역시 북구 낙동북로772번길 32,,35.1975297734,129.0048760342,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",원효정사,부산광역시 북구 효열로162번길 180-14,,35.2654451429,129.0234454144,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",한국몬테소리 금곡,부산광역시 북구 금곡대로616번길 12,,35.2619997600,129.0153327216,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",햇빛,부산광역시 북구 효열로 117,,35.2567286376,129.0136759390,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",현대여울림,부산광역시 북구 백양대로 1003,,35.1955368874,128.9935344963,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",화명금화,부산광역시 북구 화명대로 81-1,,35.2345990876,129.0170979942,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",화명꿈,부산광역시 북구 금곡대로 359,,35.2406851494,129.0136905956,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",효림,부산광역시 북구 백양대로1016번길 100-47,,35.1983033814,128.9999758645,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",꼬마대통령,부산광역시 북구 산성로 68-15,,35.2411288849,129.0208460133,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",키즈킹덤,부산광역시 북구 산성로 71,,35.2417411611,129.0207579550,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",롯데캐슬카이저,부산광역시 북구 금곡대로 166,,35.2263603201,129.0122101305,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",엔젤인,부산광역시 북구 만덕대로290번길 18,,35.2125868336,129.0351162079,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",만덕자연,부산광역시 북구 만덕1로100번길 14,,35.2141423218,129.0267822743,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",한솔,부산광역시 북구 상학산복길 159,,35.2181389619,129.0382916956,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",가빈,부산광역시 북구 만덕3로 19-1,,35.2122648182,129.0262186326,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",꿈동산,부산광역시 북구 덕천로 369,,35.2097127174,129.0439372114,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",사랑나무,부산광역시 북구 덕천로276번길 60,,35.2058619958,129.0333265513,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",가온누리,부산광역시 북구 만덕1로104번가길 37,,35.2159420523,129.0263504547,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"어린이집",만덕1 어린이집,부산광역시 북구 상학산복길 316,,35.2142541285,129.0381382129,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
